9,0.384,0.301,0.11,0.35,0.098,0.058,0.137,1,0,0
5,0.599,0.457,0.157,1.046,0.518,0.226,0.286,0,0,1
8,0.533,0.413,0.105,0.68,0.219,0.188,0.191,0,0,1
15,0.585,0.438,0.16,1.17,0.447,0.278,0.319,0,0,1
14,0.581,0.481,0.179,1.058,0.465,0.242,0.267,0,1,0
10,0.497,0.378,0.13,0.755,0.322,0.178,0.219,0,1,0
10,0.679,0.564,0.167,1.395,0.609,0.275,0.407,0,0,1
8,0.289,0.235,0.072,0.002,0.001,0.001,0.03,1,0,0
8,0.654,0.526,0.213,1.323,0.632,0.327,0.368,0,0,1
15,0.572,0.44,0.152,1.127,0.427,0.273,0.36,0,1,0
9,0.554,0.431,0.16,0.98,0.355,0.175,0.342,1,0,0
8,0.495,0.376,0.128,1.107,0.548,0.214,0.29,1,0,0
2,0.453,0.354,0.126,0.94,0.449,0.214,0.219,1,0,0
16,0.7,0.582,0.231,1.728,0.657,0.315,0.483,1,0,0
12,0.387,0.308,0.12,0.856,0.363,0.152,0.243,0,1,0
10,0.714,0.556,0.194,1.391,0.637,0.371,0.356,1,0,0
15,0.47,0.359,0.13,0.632,0.224,0.173,0.227,0,0,1
10,0.706,0.535,0.193,1.708,0.756,0.345,0.548,1,0,0
14,0.564,0.458,0.171,1.299,0.493,0.273,0.431,0,0,1
6,0.207,0.16,0.051,0.002,0.001,0.001,0.014,0,0,1
8,0.21,0.152,0.026,0.002,0.001,0.001,0.002,0,0,1
14,0.462,0.367,0.137,0.819,0.297,0.198,0.3,0,0,1
21,0.715,0.579,0.218,1.596,0.592,0.386,0.489,0,0,1
9,0.338,0.257,0.066,0.384,0.063,0.057,0.136,1,0,0
7,0.498,0.385,0.122,0.56,0.273,0.164,0.125,0,0,1
12,0.563,0.428,0.155,1.051,0.445,0.24,0.263,1,0,0
14,0.679,0.541,0.183,1.458,0.645,0.325,0.352,0,1,0
6,0.466,0.358,0.156,0.827,0.427,0.138,0.228,0,1,0
9,0.402,0.331,0.092,0.52,0.215,0.127,0.157,0,0,1
5,0.418,0.285,0.097,0.104,0.149,0.026,0.014,0,0,1
14,0.64,0.513,0.208,1.317,0.493,0.288,0.43,0,1,0
15,0.577,0.465,0.151,0.882,0.376,0.217,0.278,1,0,0
11,0.386,0.292,0.113,0.357,0.12,0.085,0.102,1,0,0
10,0.489,0.375,0.133,0.608,0.169,0.106,0.213,1,0,0
10,0.53,0.403,0.146,0.862,0.389,0.192,0.244,0,0,1
12,0.386,0.288,0.086,0.327,0.116,0.06,0.162,0,0,1
19,0.748,0.602,0.19,1.494,0.565,0.318,0.475,0,1,0
16,0.665,0.517,0.171,1.433,0.647,0.295,0.411,0,0,1
9,0.498,0.399,0.145,0.934,0.466,0.192,0.215,1,0,0
4,0.288,0.241,0.056,0.002,0.001,0.001,0.017,1,0,0
15,0.612,0.482,0.189,1.269,0.514,0.284,0.354,1,0,0
11,0.501,0.417,0.147,0.894,0.441,0.232,0.27,0,0,1
6,0.457,0.349,0.123,0.478,0.235,0.13,0.114,0,1,0
9,0.489,0.378,0.118,0.605,0.251,0.179,0.181,0,1,0
6,0.327,0.258,0.065,0.002,0.001,0.001,0.122,0,0,1
11,0.65,0.524,0.152,1.22,0.471,0.272,0.364,0,0,1
10,0.586,0.428,0.154,0.948,0.467,0.214,0.193,0,0,1
10,0.664,0.539,0.175,1.085,0.413,0.312,0.335,0,1,0
7,0.182,0.13,0.062,0.002,0.001,0.001,0.002,0,0,1
8,0.41,0.285,0.135,0.576,0.191,0.139,0.219,1,0,0
8,0.571,0.434,0.133,0.817,0.35,0.173,0.277,0,0,1
13,0.457,0.338,0.111,0.816,0.394,0.246,0.12,1,0,0
12,0.58,0.47,0.184,1.279,0.488,0.271,0.401,0,0,1
7,0.586,0.457,0.161,1.347,0.578,0.287,0.397,0,1,0
5,0.405,0.299,0.115,0.398,0.146,0.106,0.088,0,1,0
7,0.34,0.242,0.086,0.002,0.001,0.018,0.002,0,1,0
18,0.753,0.619,0.209,1.72,0.795,0.337,0.532,1,0,0
9,0.385,0.298,0.106,0.34,0.173,0.057,0.062,1,0,0
10,0.688,0.512,0.188,1.394,0.632,0.285,0.36,1,0,0
9,0.512,0.405,0.151,0.639,0.239,0.163,0.19,0,1,0
6,0.331,0.259,0.116,0.162,0.073,0.047,0.083,0,1,0
11,0.661,0.516,0.176,1.349,0.654,0.294,0.343,0,0,1
16,0.542,0.421,0.156,1.019,0.374,0.193,0.371,0,0,1
13,0.508,0.404,0.122,0.588,0.311,0.133,0.159,1,0,0
9,0.649,0.481,0.171,1.282,0.565,0.301,0.328,0,0,1
16,0.593,0.455,0.158,1.279,0.449,0.272,0.406,1,0,0
10,0.404,0.335,0.133,0.625,0.238,0.078,0.26,0,1,0
12,0.534,0.407,0.148,1.071,0.481,0.235,0.289,0,0,1
9,0.588,0.45,0.126,0.936,0.435,0.231,0.221,1,0,0
1,0.201,0.118,0.043,0.002,0.001,0.001,0.002,1,0,0
12,0.44,0.327,0.076,0.494,0.226,0.067,0.163,0,0,1
11,0.637,0.497,0.171,1.506,0.613,0.332,0.416,0,0,1
8,0.539,0.409,0.13,0.973,0.383,0.234,0.224,1,0,0
10,0.434,0.331,0.119,0.813,0.283,0.187,0.227,0,0,1
9,0.347,0.269,0.086,0.229,0.074,0.058,0.054,0,0,1
13,0.516,0.399,0.135,1.029,0.418,0.184,0.319,0,1,0
12,0.549,0.415,0.15,0.753,0.306,0.174,0.273,0,0,1
6,0.618,0.475,0.155,1.083,0.654,0.201,0.241,1,0,0
13,0.591,0.48,0.166,0.92,0.375,0.221,0.229,1,0,0
8,0.408,0.31,0.128,0.189,0.054,0.02,0.14,1,0,0
11,0.553,0.463,0.124,0.811,0.352,0.164,0.22,0,0,1
12,0.433,0.344,0.115,0.433,0.073,0.113,0.205,0,1,0
3,0.306,0.232,0.055,0.002,0.12,0.001,0.002,1,0,0
11,0.51,0.399,0.175,1.221,0.518,0.289,0.33,0,0,1
9,0.355,0.274,0.054,0.129,0.153,0.01,0.003,0,1,0
13,0.447,0.352,0.141,0.759,0.327,0.113,0.248,0,0,1
10,0.421,0.353,0.119,0.347,0.183,0.074,0.118,1,0,0
8,0.326,0.242,0.032,0.002,0.01,0.001,0.002,0,0,1
7,0.428,0.336,0.111,0.396,0.213,0.077,0.069,0,0,1
8,0.519,0.425,0.173,1.279,0.574,0.253,0.402,0,0,1
8,0.381,0.272,0.093,0.002,0.001,0.042,0.002,0,0,1
